city,datetime,temp_f,humidity,precip_in
Springfield,2022-01-01,72.5,43.4,0.0
Springfield,2022-01-02,62.9,87.8,0.0
Springfield,2022-01-03,74.7,30.7,0.0
Springfield,2022-01-04,87.8,88.2,0.5
Springfield,2022-01-05,61.5,32.6,0.0
Springfield,2022-01-06,61.5,83.5,0.0
Springfield,2022-01-07,88.7,61.7,0.1
Springfield,2022-01-08,76.5,89.6,0.0
Springfield,2022-01-09,58.0,34.4,0.1
Springfield,2022-01-10,73.1,63.2,0.0
Springfield,2022-01-11,58.0,88.2,1.0
Springfield,2022-01-12,58.0,61.4,0.0
Springfield,2022-01-13,,67.8,0.0
Springfield,2022-01-14,36.3,71.7,0.0
Springfield,2022-01-15,39.1,57.3,1.0
Springfield,2022-01-16,56.6,67.7,0.0
Springfield,2022-01-17,49.8,65.1,0.0
Springfield,2022-01-18,69.7,84.1,0.0
Springfield,2022-01-19,,32.7,0.1
Springfield,2022-01-20,43.8,46.9,0.0
Springfield,2022-01-21,87.0,87.0,0.3
Springfield,2022-01-22,61.6,83.4,0.0
Springfield,2022-01-23,66.0,57.3,0.0
Springfield,2022-01-24,43.6,67.2,0.0
Springfield,2022-01-25,56.8,46.6,0.0
Springfield,2022-01-26,66.7,41.3,0.0
Springfield,2022-01-27,47.7,57.8,0.0
Springfield,2022-01-28,70.6,51.2,0.1
Springfield,2022-01-29,56.0,65.0,0.0
Springfield,2022-01-30,60.6,34.7,0.0
Springfield,2022-01-31,56.0,88.5,0.0
Springfield,2022-02-01,92.8,89.2,0.0
Springfield,2022-02-02,64.8,71.9,0.0
Springfield,2022-02-03,49.1,62.2,0.0
Springfield,2022-02-04,77.3,48.6,0.0
Springfield,2022-02-05,46.7,78.8,0.3
Springfield,2022-02-06,68.1,71.1,0.5
Springfield,2022-02-07,35.6,39.8,0.0
Springfield,2022-02-08,45.1,84.7,0.0
Springfield,2022-02-09,68.0,79.4,0.1
Springfield,2022-02-10,76.1,87.0,0.0
Springfield,2022-02-11,67.6,73.5,0.0
Springfield,2022-02-12,63.3,66.8,0.0
Springfield,2022-02-13,60.5,55.1,0.1
Springfield,2022-02-14,42.8,86.0,0.1
Springfield,2022-02-15,54.2,82.0,0.0
Springfield,2022-02-16,58.1,32.7,0.0
Springfield,2022-02-17,80.9,31.6,0.0
Springfield,2022-02-18,70.2,52.6,0.1
Springfield,2022-02-19,38.6,78.6,0.0
Springfield,2022-02-20,69.9,89.2,0.0
Springfield,2022-02-21,59.2,39.0,0.1
Springfield,2022-02-22,54.8,65.6,0.0
Springfield,2022-02-23,74.2,52.9,0.1
Springfield,2022-02-24,80.5,88.2,0.0
Springfield,2022-02-25,79.0,80.5,0.0
Springfield,2022-02-26,52.4,80.3,0.0
Springfield,2022-02-27,60.4,58.1,0.1
Springfield,2022-02-28,70.0,54.9,0.3
Springfield,2022-03-01,79.6,46.4,0.3
Springfield,2022-03-02,57.8,33.4,0.0
Springfield,2022-03-03,62.2,81.9,0.1
Springfield,2022-03-04,,78.8,0.0
Springfield,2022-03-05,47.1,90.0,0.0
Springfield,2022-03-06,77.2,89.8,0.3
Springfield,2022-03-07,85.3,63.3,0.0
Springfield,2022-03-08,63.9,76.1,0.0
Springfield,2022-03-09,,86.7,0.0
Springfield,2022-03-10,70.4,81.0,0.0
Springfield,2022-03-11,55.3,44.8,0.0
Springfield,2022-03-12,70.4,57.0,0.0
Springfield,2022-03-13,88.1,37.7,0.0
Springfield,2022-03-14,64.5,87.2,0.3
Springfield,2022-03-15,88.5,66.4,0.3
Springfield,2022-03-16,25.7,43.7,0.0
Springfield,2022-03-17,77.3,70.3,0.0
Springfield,2022-03-18,66.3,67.1,0.0
Springfield,2022-03-19,60.5,51.5,0.0
Springfield,2022-03-20,66.4,36.8,0.0
Springfield,2022-03-21,35.2,70.3,0.1
Springfield,2022-03-22,61.7,61.2,0.0
Springfield,2022-03-23,70.4,76.3,0.0
Springfield,2022-03-24,87.2,61.2,0.0
Springfield,2022-03-25,57.2,81.1,0.0
Springfield,2022-03-26,52.9,63.1,0.5
Springfield,2022-03-27,57.5,63.7,0.1
Springfield,2022-03-28,78.7,82.6,0.0
Springfield,2022-03-29,69.9,54.2,0.3
Springfield,2022-03-30,57.1,38.0,0.0
Springfield,2022-03-31,72.7,31.7,0.3
