city,datetime,temp_f,humidity,precip_in,date,year,month,day,temp_c
Springfield,2022-01-01,72.5,43.4,0.0,2022-01-01,2022,1,1,22.5
Springfield,2022-01-02,62.9,87.8,0.0,2022-01-02,2022,1,2,17.2
Springfield,2022-01-03,74.7,30.7,0.0,2022-01-03,2022,1,3,23.7
Springfield,2022-01-04,87.8,88.2,0.5,2022-01-04,2022,1,4,31.0
Springfield,2022-01-05,61.5,32.6,0.0,2022-01-05,2022,1,5,16.4
Springfield,2022-01-06,61.5,83.5,0.0,2022-01-06,2022,1,6,16.4
Springfield,2022-01-07,88.7,61.7,0.1,2022-01-07,2022,1,7,31.5
Springfield,2022-01-08,76.5,89.6,0.0,2022-01-08,2022,1,8,24.7
Springfield,2022-01-09,58.0,34.4,0.1,2022-01-09,2022,1,9,14.4
Springfield,2022-01-10,73.1,63.2,0.0,2022-01-10,2022,1,10,22.8
Springfield,2022-01-11,58.0,88.2,1.0,2022-01-11,2022,1,11,14.4
Springfield,2022-01-12,58.0,61.4,0.0,2022-01-12,2022,1,12,14.4
Springfield,2022-01-14,36.3,71.7,0.0,2022-01-14,2022,1,14,2.4
Springfield,2022-01-15,39.1,57.3,1.0,2022-01-15,2022,1,15,3.9
Springfield,2022-01-16,56.6,67.7,0.0,2022-01-16,2022,1,16,13.7
Springfield,2022-01-17,49.8,65.1,0.0,2022-01-17,2022,1,17,9.9
Springfield,2022-01-18,69.7,84.1,0.0,2022-01-18,2022,1,18,20.9
Springfield,2022-01-20,43.8,46.9,0.0,2022-01-20,2022,1,20,6.6
Springfield,2022-01-21,87.0,87.0,0.3,2022-01-21,2022,1,21,30.6
Springfield,2022-01-22,61.6,83.4,0.0,2022-01-22,2022,1,22,16.4
Springfield,2022-01-23,66.0,57.3,0.0,2022-01-23,2022,1,23,18.9
Springfield,2022-01-24,43.6,67.2,0.0,2022-01-24,2022,1,24,6.4
Springfield,2022-01-25,56.8,46.6,0.0,2022-01-25,2022,1,25,13.8
Springfield,2022-01-26,66.7,41.3,0.0,2022-01-26,2022,1,26,19.3
Springfield,2022-01-27,47.7,57.8,0.0,2022-01-27,2022,1,27,8.7
Springfield,2022-01-28,70.6,51.2,0.1,2022-01-28,2022,1,28,21.4
Springfield,2022-01-29,56.0,65.0,0.0,2022-01-29,2022,1,29,13.3
Springfield,2022-01-30,60.6,34.7,0.0,2022-01-30,2022,1,30,15.9
Springfield,2022-01-31,56.0,88.5,0.0,2022-01-31,2022,1,31,13.3
Springfield,2022-02-01,92.8,89.2,0.0,2022-02-01,2022,2,1,33.8
Springfield,2022-02-02,64.8,71.9,0.0,2022-02-02,2022,2,2,18.2
Springfield,2022-02-03,49.1,62.2,0.0,2022-02-03,2022,2,3,9.5
Springfield,2022-02-04,77.3,48.6,0.0,2022-02-04,2022,2,4,25.2
Springfield,2022-02-05,46.7,78.8,0.3,2022-02-05,2022,2,5,8.2
Springfield,2022-02-06,68.1,71.1,0.5,2022-02-06,2022,2,6,20.1
Springfield,2022-02-07,35.6,39.8,0.0,2022-02-07,2022,2,7,2.0
Springfield,2022-02-08,45.1,84.7,0.0,2022-02-08,2022,2,8,7.3
Springfield,2022-02-09,68.0,79.4,0.1,2022-02-09,2022,2,9,20.0
Springfield,2022-02-10,76.1,87.0,0.0,2022-02-10,2022,2,10,24.5
Springfield,2022-02-11,67.6,73.5,0.0,2022-02-11,2022,2,11,19.8
Springfield,2022-02-12,63.3,66.8,0.0,2022-02-12,2022,2,12,17.4
Springfield,2022-02-13,60.5,55.1,0.1,2022-02-13,2022,2,13,15.8
Springfield,2022-02-14,42.8,86.0,0.1,2022-02-14,2022,2,14,6.0
Springfield,2022-02-15,54.2,82.0,0.0,2022-02-15,2022,2,15,12.3
Springfield,2022-02-16,58.1,32.7,0.0,2022-02-16,2022,2,16,14.5
Springfield,2022-02-17,80.9,31.6,0.0,2022-02-17,2022,2,17,27.2
Springfield,2022-02-18,70.2,52.6,0.1,2022-02-18,2022,2,18,21.2
Springfield,2022-02-19,38.6,78.6,0.0,2022-02-19,2022,2,19,3.7
Springfield,2022-02-20,69.9,89.2,0.0,2022-02-20,2022,2,20,21.1
Springfield,2022-02-21,59.2,39.0,0.1,2022-02-21,2022,2,21,15.1
Springfield,2022-02-22,54.8,65.6,0.0,2022-02-22,2022,2,22,12.7
Springfield,2022-02-23,74.2,52.9,0.1,2022-02-23,2022,2,23,23.4
Springfield,2022-02-24,80.5,88.2,0.0,2022-02-24,2022,2,24,26.9
Springfield,2022-02-25,79.0,80.5,0.0,2022-02-25,2022,2,25,26.1
Springfield,2022-02-26,52.4,80.3,0.0,2022-02-26,2022,2,26,11.3
Springfield,2022-02-27,60.4,58.1,0.1,2022-02-27,2022,2,27,15.8
Springfield,2022-02-28,70.0,54.9,0.3,2022-02-28,2022,2,28,21.1
Springfield,2022-03-01,79.6,46.4,0.3,2022-03-01,2022,3,1,26.4
Springfield,2022-03-02,57.8,33.4,0.0,2022-03-02,2022,3,2,14.3
